 Nome, Num Linhas, Outliers, eps, Minvalues 
000-20090509050136,539,3,0,7
000-20090509181636,172,7,0,7
000-20090510020206,816,2,0,7
000-20090510222007,87,8,0,7
000-20090511064136,460,5,0,7
000-20090511174427,200,17,0,7
000-20090512013109,1083,16,0,7
000-20090512195558,99,5,0,7
000-20090513054336,644,7,0,7
000-20090514015425,679,5,0,7
000-20090515014004,977,7,0,7
000-20090516091038,316,1,0,7
000-20090517054624,1010,11,0,7
000-20090517220626,373,2,0,7
000-20090518064638,1246,41,0,7
000-20090519094537,454,2,0,7
000-20090519174038,113,3,0,7
000-20090520010901,184,4,0,7
000-20090520125535,93,3,0,7
000-20090520210235,78,4,0,7
000-20090521045307,570,6,0,7
000-20090521231053,1020,2,0,7
000-20090522094234,2559,25,0,7
000-20090523011253,3674,14,0,7
000-20090524094557,421,18,0,7
000-20090524215455,217,4,0,7
000-20090525093647,1371,8,0,7
000-20090526040256,764,10,0,7
000-20090526170706,195,11,0,7
000-20090527080105,1772,13,0,7
000-20090528012338,3329,17,0,7
000-20090530034445,2074,6,0,7
000-20090531031407,597,7,0,7
000-20090531192301,105,2,0,7
000-20090601082932,107,1,0,7
000-20090602035536,1188,17,0,7
000-20090602185307,537,9,0,7
000-20090603064302,1071,14,0,7
000-20090604053730,1467,7,0,7
000-20090605012707,1635,11,0,7
000-20090606060037,1349,9,0,7
000-20090607075255,645,8,0,7
000-20090607163831,108,13,0,7
000-20090608060034,874,4,0,7
000-20090609002030,3715,30,0,7
000-20090610062438,626,5,0,7
000-20090610223636,1845,13,0,7
000-20090611221204,266,13,0,7
000-20090612072227,704,4,0,7
000-20090612220336,4783,8,0,7
000-20090614065303,1386,8,0,7
000-20090615055603,648,7,0,7
000-20090615183206,86,8,0,7
000-20090616054128,3607,20,0,7
000-20090618005931,539,5,0,7
000-20090619004036,1596,15,0,7
000-20090620024527,681,8,0,7
000-20090621101407,1863,22,0,7
000-20090622095432,778,8,0,7
000-20090623043635,1813,9,0,7
000-20090623233404,149,1,0,7
000-20090624070430,639,6,0,7
000-20090624215736,86,3,0,7
000-20090625041631,2002,3,0,7
000-20090626101307,609,8,0,7
000-20090627025208,292,9,0,7
000-20090627101821,1802,21,0,7
000-20090628005229,5847,9,0,7
000-20090629011630,1985,11,0,7
000-20090629173335,918,10,0,7
000-20090630045606,801,8,0,7
000-20090701044033,167,20,0,7
000-20090701171936,93,5,0,7
000-20090702022530,5756,22,0,7
000-20090703002800,1787,14,0,7
000-20090704042634,435,2,0,7
000-20090705025307,2311,17,0,7
001-20081023055305,960,7,0,7
001-20081023234104,2127,9,0,7
001-20081024234405,7074,17,0,7
001-20081025231428,3675,6,0,7
001-20081026081229,3235,8,0,7
001-20081027111634,826,9,0,7
001-20081027233029,497,16,0,7
001-20081027235802,98,1,0,7
001-20081028102805,646,6,0,7
001-20081028233053,335,12,0,7
001-20081028235048,251,2,0,7
001-20081029110529,731,3,0,7
001-20081029234123,1987,11,0,7
001-20081030233959,1481,6,0,7
001-20081101004235,3711,13,0,7
001-20081102030834,1942,10,0,7
001-20081102233452,536,1,0,7
001-20081103133204,477,6,0,7
001-20081103233729,648,2,0,7
001-20081104054859,1888,10,0,7
001-20081104234436,746,1,0,7
001-20081105110052,5717,5,0,7
001-20081106051423,253,5,0,7
001-20081106133604,542,5,0,7
001-20081106233404,2899,9,0,7
001-20081108034358,3811,10,0,7
001-20081109033335,2471,5,0,7
001-20081110233534,788,2,0,7
001-20081111114304,322,7,0,7
001-20081111234235,1611,11,0,7
001-20081112234504,831,5,0,7
001-20081113121334,494,3,0,7
001-20081113234558,655,1,0,7
001-20081114130723,980,9,0,7
001-20081115003535,5662,12,0,7
001-20081116024429,2788,22,0,7
001-20081116235322,999,2,0,7
001-20081117042454,3027,11,0,7
001-20081117234459,693,3,0,7
001-20081118003844,144,23,0,7
001-20081118132804,820,16,0,7
001-20081118235053,858,1,0,7
001-20081119104736,1778,3,0,7
001-20081120121822,696,20,0,7
001-20081120234905,862,3,0,7
001-20081201102704,720,5,0,7
001-20081202000605,490,2,0,7
001-20081202145929,481,8,0,7
001-20081203000505,515,2,0,7
001-20081203112659,537,1,0,7
001-20081203235305,933,5,0,7
001-20081204142253,565,12,0,7
001-20081205002359,858,5,0,7
001-20081205143505,494,1,0,7
001-20081205235730,2867,10,0,7
001-20081206040725,58,2,0,7
001-20081206084030,116,14,0,7
001-20081207030135,2563,10,0,7
001-20081208001534,533,1,0,7
001-20081208142853,602,16,0,7
001-20081209002004,6958,22,0,7
001-20081210001529,834,4,0,7
001-20081210080559,1455,16,0,7
001-20081210235522,887,9,0,7
001-20081211110523,918,8,0,7
001-20081212000534,1841,12,0,7
001-20081212141923,690,5,0,7
001-20081213092204,7583,8,0,7
001-20081214080334,896,4,0,7
001-20081214235553,538,1,0,7
022-20090110031933,2501,11,0,7
022-20090111061633,2054,5,0,7
022-20090112051804,4207,17,0,7
022-20090113094804,10661,14,0,7
022-20090114230822,1444,7,0,7
022-20090116005004,17903,9,0,7
022-20090117223222,19959,17,0,7
022-20090120040252,3809,36,0,7
022-20090120212134,3703,11,0,7
022-20090203081234,4173,40,0,7
022-20090204033634,3891,17,0,7
022-20090206044603,4238,11,0,7
022-20090206224834,2328,8,0,7
022-20090207092704,1823,6,0,7
022-20090208050522,1628,35,0,7
022-20090209022058,6377,31,0,7
022-20090210010335,673,12,0,7
022-20090210083728,1686,32,0,7
022-20090211154127,1414,9,0,7
022-20090212011658,682,10,0,7
022-20090212103652,111,16,0,7
022-20090213023557,6169,53,0,7
022-20090214030328,5180,28,0,7
022-20090216044933,4469,31,0,7
022-20090217084403,1891,40,0,7
022-20090219110435,203,5,0,7
022-20090220034329,3339,8,0,7
022-20090220235358,4903,13,0,7
022-20090222041103,3145,27,0,7
022-20090223013921,1412,10,0,7
022-20090304112717,251,13,0,7
022-20090305004834,6759,24,0,7
022-20090307012251,2784,15,0,7
022-20090308010157,766,14,0,7
022-20090308015737,61,6,0,7
022-20090308083628,1469,9,0,7
022-20090309042903,820,35,0,7
022-20090309124533,1510,52,0,7
022-20090310002934,1533,5,0,7
022-20090310124822,714,7,0,7
022-20090311012103,9183,48,0,7
022-20090312021222,577,15,0,7
022-20090312124057,824,13,0,7
022-20090313022704,649,20,0,7
022-20090320121232,926,5,0,7
022-20090321025054,2418,25,0,7
022-20090322052028,4188,28,0,7
022-20090323000907,751,20,0,7
022-20090324064808,266,14,0,7
022-20090326010354,2783,19,0,7
022-20090327003702,428,14,0,7
022-20090402103456,845,19,0,7
022-20090403020507,2599,9,0,7
022-20090405063006,966,21,0,7
022-20090408033801,1400,16,0,7
022-20090408144751,146,16,0,7
022-20090409002328,846,13,0,7
022-20090410001221,6463,44,0,7
022-20090411164032,1194,10,0,7
022-20090413001437,2420,13,0,7
022-20090413131558,793,11,0,7
022-20090414011304,602,13,0,7
022-20090415235538,369,1,0,7
022-20090417032525,5160,34,0,7
022-20090418045734,1354,6,0,7
022-20090419024851,2241,11,0,7
022-20090422011155,4399,17,0,7
022-20090423000103,3997,35,0,7
022-20090423152905,60,7,0,7
022-20090424142731,155,2,0,7
022-20090425045823,4481,21,0,7
022-20090426030236,168,7,0,7
022-20090426121143,871,8,0,7
022-20090427052253,3763,20,0,7
022-20090428000237,5496,53,0,7
022-20090428235106,802,2,0,7
022-20090429073007,2675,23,0,7
022-20090430014307,4833,25,0,7
022-20090501064754,3734,20,0,7
022-20090502044205,11674,27,0,7
022-20090504013301,1015,4,0,7
022-20090505091437,1896,8,0,7
022-20090505235557,6739,14,0,7
022-20090506234838,315,1,0,7
022-20090507160759,239,10,0,7
022-20090509005007,366,7,0,7
022-20090509141500,227,3,0,7
022-20090510020907,3132,19,0,7
022-20090511000217,3477,9,0,7
022-20090512000434,6426,29,0,7
022-20090513041800,2590,25,0,7
022-20090513171825,3119,34,0,7
022-20090514135435,549,12,0,7
022-20090515001531,1621,30,0,7
022-20090515223755,666,6,0,7
022-20090520141659,161,6,0,7
022-20090521040554,760,8,0,7
022-20090527134731,320,16,0,7
022-20090528111033,2282,12,0,7
022-20090529044030,592,12,0,7
022-20090529145025,126,12,0,7
022-20090531161438,6101,3,0,7
022-20090603103753,2412,29,0,7
022-20090606030330,4922,40,0,7
022-20090608001025,3257,12,0,7
022-20090609001153,5426,65,0,7
022-20090609232837,6319,10,0,7
022-20090610232737,6622,12,0,7
022-20090615060859,155,7,0,7
022-20090615145004,273,8,0,7
022-20090615233430,5191,4,0,7
022-20090617030954,4627,16,0,7
022-20090618141034,315,8,0,7
022-20090620013537,4050,34,0,7
022-20090621014030,5311,26,0,7
022-20090623071332,1072,24,0,7
022-20090625235124,3723,7,0,7
022-20090627074954,3011,19,0,7
022-20090629002637,6782,26,0,7
022-20090630002904,7180,28,0,7
022-20090701110154,270,8,0,7
022-20090706070306,2212,28,0,7
022-20090706235307,2324,6,0,7
022-20090707133001,10152,14,0,7
022-20090709025206,8953,5,0,7
022-20090711052205,13538,23,0,7
022-20090713000234,2398,35,0,7
022-20090714000506,4856,34,0,7
022-20090714234904,6507,12,0,7
022-20090716002654,669,6,0,7
022-20090716042557,10288,7,0,7
022-20090717132508,35497,12,0,7
022-20090721005532,6192,28,0,7
022-20090721234300,141,21,0,7
022-20090723013354,5295,24,0,7
022-20090724034333,278,6,0,7
022-20090724040924,4635,19,0,7
022-20090726090535,286,3,0,7
022-20090727002804,1325,13,0,7
