Nome,Num Linhas, Out knee, eps, num clusters 
000-20090520210235,78,4,5.02,3
000-20090521045307,570,6,32.01,3
000-20090521231053,1020,2,261.06,2
000-20090522094234,2559,25,23.26,3
000-20090523011253,3674,14,150.0,2
000-20090524094557,421,18,3.09,2
000-20090524215455,217,4,10.03,2
000-20090525093647,1371,8,76.28,2
000-20090526040256,764,10,25.06,2
000-20090526170706,195,11,5.07,4
000-20090527080105,1772,13,25.5,2
000-20090528012338,3329,17,20.4,3
000-20090530034445,2074,6,956.73,2
000-20090531031407,597,7,13.03,3
000-20090531192301,105,2,4.06,3
000-20090601082932,107,1,31.55,2
000-20090602035536,1188,17,11.89,3
000-20090602185307,537,9,8.25,5
000-20090603064302,1071,14,12.08,2
000-20090604053730,1467,7,11.22,3
000-20090605012707,1635,11,25.09,3
000-20090606060037,1349,9,17.03,3
000-20090607075255,645,8,6.27,4
000-20090607163831,108,13,2.54,4
000-20090608060034,874,4,16.64,2
000-20090609002030,3715,30,5.0,2
000-20090610062438,626,5,31.12,2
000-20090610223636,1845,13,104.71,2
000-20090611221204,266,13,11.48,6
000-20090612072227,704,4,12.01,3
000-20090612220336,4783,8,253.03,2
000-20090614065303,1386,8,20.0,3
000-20090615055603,648,7,10.0,2
000-20090615183206,86,8,2.2,2
000-20090616054128,3607,20,68.89,2
000-20090618005931,539,5,18.53,3
000-20090619004036,1596,15,15.03,4
000-20090620024527,681,8,105.73,2
000-20090621101407,1863,22,15.03,3
000-20090622095432,778,8,27.9,2
000-20090623043635,1813,9,210.15,2
000-20090623233404,149,1,3.3,3
000-20090624070430,639,6,191.64,2
000-20090624215736,86,3,111.0,2
000-20090625041631,2002,3,25.0,3
000-20090626101307,609,8,12.63,3
000-20090627025208,292,9,3.0,2
000-20090627101821,1802,21,9.01,5
000-20090628005229,5847,9,191.79,2
000-20090629011630,1985,11,10.34,3
000-20090629173335,918,10,69.09,2
000-20090630045606,801,8,39.61,2
000-20090701044033,167,20,2.1,3
000-20090701171936,93,5,6.08,3
000-20090702022530,5756,22,40.31,3
000-20090703002800,1787,14,57.06,2
000-20090704042634,435,2,65.77,2
000-20090705025307,2311,17,10.24,2
001-20081023055305,960,7,41.8,2
001-20081023234104,2127,9,148.27,2
001-20081024234405,7074,17,132.38,2
001-20081025231428,3675,6,58.93,2
001-20081026081229,3235,8,26.08,3
001-20081027111634,826,9,19.11,2
001-20081027233029,497,16,8.17,4
001-20081027235802,98,1,134.0,2
001-20081028102805,646,6,25.41,3
001-20081028233053,335,12,10.13,6
001-20081028235048,251,2,46.11,2
001-20081029110529,731,3,17.6,2
001-20081029234123,1987,11,154.05,2
001-20081030233959,1481,6,118.09,2
001-20081101004235,3711,13,29.07,2
001-20081102030834,1942,10,37.35,2
001-20081102233452,536,1,70.17,2
001-20081103133204,477,6,3.19,2
001-20081103233729,648,2,16.25,2
001-20081104054859,1888,10,65.66,2
001-20081104234436,746,1,263.28,2
001-20081105110052,5717,5,169.06,2
001-20081106051423,253,5,8.52,3
001-20081106133604,542,5,9.45,2
001-20081106233404,2899,9,81.0,2
001-20081108034358,3811,10,9.57,2
001-20081109033335,2471,5,117.72,2
001-20081110233534,788,2,20.94,2
001-20081111114304,322,7,6.04,3
001-20081111234235,1611,11,133.33,2
001-20081112234504,831,5,73.04,2
001-20081113121334,494,3,20.98,2
001-20081113234558,655,1,231.01,2
001-20081114130723,980,9,3.35,3
001-20081115003535,5662,12,73.82,2
001-20081116024429,2788,22,54.92,2
001-20081116235322,999,2,220.0,2
001-20081117042454,3027,11,69.43,3
001-20081117234459,693,3,52.75,2
001-20081118003844,144,23,4.06,6
001-20081118132804,820,16,4.7,3
001-20081118235053,858,1,34.43,2
001-20081119104736,1778,3,5.24,2
001-20081120121822,696,20,13.73,2
001-20081120234905,862,3,8.08,2
001-20081201102704,720,5,20.25,2
001-20081202000605,490,2,6.04,2
001-20081202145929,481,8,9.93,4
001-20081203000505,515,2,4.03,2
001-20081203112659,537,1,7.78,2
001-20081203235305,933,5,60.01,2
001-20081204142253,565,12,6.5,2
001-20081205002359,858,5,37.78,2
001-20081205143505,494,1,7.13,2
001-20081205235730,2867,10,157.08,2
001-20081206040725,58,2,5.56,3
001-20081206084030,116,14,12.04,6
001-20081207030135,2563,10,43.86,2
001-20081208001534,533,1,4.39,2
001-20081208142853,602,16,5.07,2
001-20081209002004,6958,22,64.48,2
001-20081210001529,834,4,4.44,3
001-20081210080559,1455,16,12.15,5
001-20081210235522,887,9,21.43,3
001-20081211110523,918,8,5.22,3
001-20081212000534,1841,12,78.49,2
001-20081212141923,690,5,6.41,2
001-20081213092204,7583,8,80.01,3
001-20081214080334,896,4,60.33,2
001-20081214235553,538,1,4.77,2
022-20090110031933,2501,11,12.83,2
022-20090111061633,2054,5,47.76,2
022-20090112051804,4207,17,21.03,2
022-20090113094804,10661,14,92.74,2
022-20090114230822,1444,7,68.62,2
022-20090116005004,17903,9,187.0,2
022-20090117223222,19959,17,128.0,2
022-20090120040252,3809,36,7.37,3
022-20090120212134,3703,11,133.66,2
022-20090203081234,4173,40,7.66,2
022-20090204033634,3891,17,33.08,2
022-20090206044603,4238,11,59.55,2
022-20090206224834,2328,8,27.0,2
022-20090207092704,1823,6,78.01,2
022-20090208050522,1628,35,13.02,2
022-20090209022058,6377,31,14.31,2
022-20090210010335,673,12,9.34,3
022-20090210083728,1686,32,5.11,2
022-20090211154127,1414,9,6.75,2
022-20090212011658,682,10,4.1,3
022-20090212103652,111,16,3.69,3
022-20090213023557,6169,53,10.41,2
022-20090214030328,5180,28,17.19,3
022-20090216044933,4469,31,13.92,3
022-20090217084403,1891,40,5.85,3
022-20090219110435,203,5,19.63,2
022-20090220034329,3339,8,11.0,2
022-20090220235358,4903,13,110.17,2
022-20090222041103,3145,27,7.33,3
022-20090223013921,1412,10,119.23,4
022-20090304112717,251,13,4.76,3
022-20090305004834,6759,24,28.12,3
022-20090307012251,2784,15,45.19,2
022-20090308010157,766,14,8.31,5
022-20090308015737,61,6,10.25,2
022-20090308083628,1469,9,4.86,4
022-20090309042903,820,35,7.05,2
022-20090309124533,1510,52,5.23,4
022-20090310002934,1533,5,5.23,2
022-20090310124822,714,7,5.89,3
022-20090311012103,9183,48,29.02,3
022-20090312021222,577,15,3.14,3
022-20090312124057,824,13,6.49,2
022-20090313022704,649,20,9.7,3
022-20090320121232,926,5,122.79,2
022-20090321025054,2418,25,7.02,4
022-20090322052028,4188,28,35.36,2
022-20090323000907,751,20,10.96,3
022-20090324064808,266,14,13.29,2
022-20090326010354,2783,19,62.01,2
022-20090327003702,428,14,10.23,4
022-20090402103456,845,19,7.87,3
022-20090403020507,2599,9,69.38,3
022-20090405063006,966,21,6.38,3
022-20090408033801,1400,16,4.17,5
022-20090408144751,146,16,6.92,3
022-20090409002328,846,13,7.05,3
022-20090410001221,6463,44,10.05,2
022-20090411164032,1194,10,18.38,2
022-20090413001437,2420,13,9.08,4
022-20090413131558,793,11,7.13,3
022-20090414011304,602,13,7.6,2
022-20090415235538,369,1,547.32,2
022-20090417032525,5160,34,26.52,3
022-20090418045734,1354,6,99.21,2
022-20090419024851,2241,11,10.05,2
022-20090422011155,4399,17,78.57,2
022-20090423000103,3997,35,10.05,2
022-20090423152905,60,7,5.17,4
022-20090424142731,155,2,14.72,2
022-20090425045823,4481,21,40.05,3
022-20090426030236,168,7,15.35,3
022-20090426121143,871,8,141.42,2
022-20090427052253,3763,20,37.9,2
022-20090428000237,5496,53,11.72,4
022-20090428235106,802,2,481.45,3
022-20090429073007,2675,23,20.04,3
022-20090430014307,4833,25,38.46,3
022-20090501064754,3734,20,19.2,4
022-20090502044205,11674,27,84.77,3
022-20090504013301,1015,4,8.49,2
022-20090505091437,1896,8,113.78,2
022-20090505235557,6739,14,77.34,4
022-20090506234838,315,1,255.66,2
022-20090507160759,239,10,12.26,3
022-20090509005007,366,7,9.87,5
022-20090509141500,227,3,4.06,3
022-20090510020907,3132,19,31.32,3
022-20090511000217,3477,9,251.18,2
022-20090512000434,6426,29,60.21,3
022-20090513041800,2590,25,11.21,2
022-20090513171825,3119,34,6.27,3
022-20090514135435,549,12,22.2,3
022-20090515001531,1621,30,3.01,3
022-20090515223755,666,6,12.34,2
022-20090520141659,161,6,12.05,2
022-20090521040554,760,8,88.96,2
022-20090527134731,320,16,10.97,3
022-20090528111033,2282,12,34.0,2
022-20090529044030,592,12,6.25,6
022-20090529145025,126,12,4.03,2
022-20090531161438,6101,3,126.44,4
022-20090603103753,2412,29,30.25,2
022-20090606030330,4922,40,31.75,2
022-20090608001025,3257,12,51.0,3
022-20090609001153,5426,65,5.1,2
022-20090609232837,6319,10,81.06,4
022-20090610232737,6622,12,125.51,2
022-20090615060859,155,7,5.9,3
022-20090615145004,273,8,12.6,2
022-20090615233430,5191,4,145.0,3
022-20090617030954,4627,16,55.06,3
022-20090618141034,315,8,10.05,3
022-20090620013537,4050,34,58.88,3
022-20090621014030,5311,26,49.15,3
022-20090623071332,1072,24,4.01,3
022-20090625235124,3723,7,87.24,2
022-20090627074954,3011,19,52.25,2
022-20090629002637,6782,26,50.02,4
022-20090630002904,7180,28,53.25,3
022-20090701110154,270,8,10.01,2
022-20090706070306,2212,28,12.95,4
022-20090706235307,2324,6,106.89,3
022-20090707133001,10152,14,106.04,2
022-20090709025206,8953,5,260.07,2
022-20090711052205,13538,23,115.73,2
022-20090713000234,2398,35,4.55,4
022-20090714000506,4856,34,31.62,2
022-20090714234904,6507,12,181.18,2
022-20090716002654,669,6,5.03,3
022-20090716042557,10288,7,130.16,3
022-20090717132508,35497,12,91.55,3
022-20090721005532,6192,28,72.48,2
022-20090721234300,141,21,2.54,5
022-20090723013354,5295,24,40.85,3
022-20090724034333,278,6,6.05,3
022-20090724040924,4635,19,50.09,2
022-20090726090535,286,3,8.0,3
022-20090727002804,1325,13,19.11,4
