"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"475","1c:ab:c0:ef:a5:d9","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"476","f0:f2:49:d8:db:99","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"477","bc:14:01:a8:19:59","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"478","32:91:8f:3d:17:66","ter","MEO-WiFi","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"479","9e:97:26:e3:ed:46","ter","MEO-WiFi","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"480","e2:b9:e5:53:fa:e6","ter","MEO-WiFi","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"481","78:8d:f7:04:ec:09","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"482","84:94:8c:f4:85:18","ter","NOS-8510","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"483","58:98:35:7c:cb:e1","ter","Casa","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"484","bc:14:01:1a:19:48","ter","ZON-1940","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"485","28:be:03:87:e0:26","ter","NOS_Internet_Movel_E026","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"486","00:05:ca:72:a7:f8","ter","ZON-A7F0","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"487","9c:97:26:db:8a:b9","ter","MEO-DB8AB9","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"488","a4:b1:e9:4f:9c:60","ter","MEO-ED110B","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"489","68:b6:fc:5b:2e:f8","ter","ZON-2EF0","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"490","84:94:8c:f4:85:19","ter","NOS_WIFI_Fon","1","18-07-2017 at 13:59:20","37.1438","-8.54566"
"491","bc:14:01:1a:19:49","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"492","a6:b1:e9:4f:9c:61","ter","MEO-WiFi","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"493","9e:97:26:db:8a:ba","ter","MEO-WiFi","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"494","00:26:5b:21:5d:59","ter","NOS_WIFI_Fon","1","18-07-2017 at 18:40:36","37.1433","-8.54564"
"495","e0:b9:e5:ae:4d:73","ter","moonshapes2","0","18-07-2017 at 13:59:20","37.1438","-8.54566"
"496","a8:4e:3f:2b:c4:68","ter","NOS-C460","0","18-07-2017 at 13:59:20","37.1438","-8.54566"
"497","54:67:51:a6:dc:29","ter","NOWO-6DC24","0","18-07-2017 at 21:09:44","37.1434","-8.54528"
"498","e0:ca:94:72:1b:81","ter","Casa","0","18-07-2017 at 13:59:20","37.1438","-8.54566"
"499","00:05:ca:a1:eb:09","ter","NOS_WIFI_Fon","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"500","a8:4e:3f:2b:c4:69","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:20","37.1438","-8.54566"
"501","e2:ca:94:72:1b:82","ter","MEO-WiFi","0","18-07-2017 at 13:59:20","37.1438","-8.54566"
"502","f0:f2:49:c9:13:28","ter","","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"503","00:05:ca:a2:0a:88","ter","ZON-0A80","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"504","e4:8d:8c:b4:0a:63","ter","KEOS","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"505","f0:f2:49:c9:13:29","ter","NOS_WIFI_Fon","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"506","00:05:ca:a2:0a:89","ter","NOS_WIFI_Fon","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"507","32:91:8f:46:5b:94","ter","MEO-WiFi","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"508","c6:ea:1d:0f:9f:f0","ter","MEO-WiFi","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"509","64:77:7d:2a:56:e8","ter","NOS-56E0","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"510","00:05:ca:9f:15:48","ter","ZON-1540","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"511","c4:ea:1d:0f:9f:ef","ter","MEO-0F9FEF","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"512","30:91:8f:46:5b:93","ter","MEO-465B93","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
