latitude,longitude
37.1345,-8.53739
37.1345,-8.53739
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
37.1345,-8.53739
37.1345,-8.53739
37.1348,-8.53807
37.1345,-8.53739
37.1349,-8.53853
37.1341,-8.53713
37.1341,-8.53713
37.1349,-8.53853
37.1341,-8.53713
37.1349,-8.53853
37.1341,-8.53713
37.1345,-8.53739
37.1341,-8.53713
37.1341,-8.53713
37.1345,-8.53739
37.1341,-8.53713
37.1345,-8.53739
37.1345,-8.53739
37.134,-8.53704
37.1345,-8.53739
37.1341,-8.53713
37.1341,-8.53713
37.1345,-8.53739
37.1348,-8.53807
37.134,-8.53704
37.134,-8.53704
37.134,-8.53704
37.134,-8.53704
37.134,-8.53704
37.1349,-8.53853
37.1349,-8.53853
37.1341,-8.53704
37.134,-8.53704
37.1341,-8.53713
37.1341,-8.53713
37.1345,-8.53739
37.1348,-8.53807
37.1341,-8.53704
37.1341,-8.53704
37.1345,-8.53739
37.1341,-8.53888
37.1341,-8.53713
37.134,-8.53704
37.134,-8.53704
37.134,-8.53704
37.1341,-8.53713
37.1348,-8.53807
37.1341,-8.53713
37.1341,-8.53713
37.1341,-8.53713
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
37.1348,-8.53807
