latitude,longitude
37.1302,-8.53879
37.1302,-8.53854
37.1303,-8.53982
37.1302,-8.53854
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1302,-8.53879
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1302,-8.53854
37.1302,-8.53879
37.1303,-8.53982
37.1302,-8.53879
37.1303,-8.53982
37.1303,-8.53982
37.1302,-8.53854
37.1302,-8.53854
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
37.1303,-8.53982
